season,week,gameweek,favorite,spread,underdog,total,awayML,homeML,favoritehome,spread_0to3,spread_35to7,spread_75to10,spread_105to14,spread_145plus,fav_as_fav_last_5_ats_percent,und_as_und_last_5_ats_percent,fav_last_5_percent,und_last_5_percent,fav_last_5_ats_percent,und_last_5_ats_percent,fav_score_last5,und_score_last5,fav_spread_diff_last5,und_spread_diff_last5,fav_passyards_last5,und_passyards_last5,fav_rushyards_last5,und_rushyards_last5,fav_tolost_last5,und_tolost_last5,fav_firstdowns_last5,und_firstdowns_last5,fav_passyards_allowed_last5,und_passyards_allowed_last5,fav_rushyards_allowed_last5,und_rushyards_allowed_last5,fav_togained_last5,und_togained_last5,fav_firstdowns_allowed_last5,und_firstdowns_allowed_last5,fav_as_fav_last_10_ats_percent,und_as_und_last_10_ats_percent,fav_last_10_percent,und_last_10_percent,fav_last_10_ats_percent,und_last_10_ats_percent,fav_score_last10,und_score_last10,fav_spread_diff_last10,und_spread_diff_last10,fav_passyards_last10,und_passyards_last10,fav_rushyards_last10,und_rushyards_last10,fav_tolost_last10,und_tolost_last10,fav_firstdowns_last10,und_firstdowns_last10,fav_passyards_allowed_last10,und_passyards_allowed_last10,fav_rushyards_allowed_last10,und_rushyards_allowed_last10,fav_togained_last10,und_togained_last10,fav_firstdowns_allowed_last10,und_firstdowns_allowed_last10,spreadflag,Sunday,Monday,Thursday,Morning,Afternoon,Night,Central-Central,Central-East,Central-Mountain,Central-West,East-Central,East-East,East-Mountain,East-West,Mountain-Central,Mountain-East,Mountain-Mountain,Mountain-West,West-Central,West-East,West-Mountain,West-West
2010,1,201001,NYJ,-1,BAL,36,-120,100,1,1,0,0,0,0,0.8,0.2,0.8,0.6,0.8,0.4,23.6,26.8,-5,-10.4,117.2,163.8,196.4,182.6,0.8,1.8,17.2,19,131.5,198.4,77.6,83.6,2,3,10.2,17.6,0.5,0.2,0.6,0.6,0.6,0.4,23.4,22.2,-5.5,-6,144.6,180.9,177.8,145.1,1.6,1.5,18.2,18.2,148.1111111,186.7,88.4,94.5,2.1,2.3,13,17.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1,201001,MIA,-3,BUF,39,-170,150,0,1,0,0,0,0,0.2,0.4,0.4,0.4,0.6,0.4,20.8,14.4,3.8,-8.4,278,114.6,102.8,143.2,2.4,1.8,22.4,13.8,238.2,153,129.4,138.4,1.4,1.6,18,17.4,0.1,0.4,0.5,0.4,0.6,0.5,21.4,16.5,6.6,-3.4,215.8,149.8,120.9,113.7,1.9,1.7,20.6,13.5,235.3,191.7,131.5,141.7,1.3,2.2,19.3,19.3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1,201001,NYG,-5,CAR,40.5,-260,220,1,0,1,0,0,0,0.2,0.8,0.4,0.8,0.4,1,26,23.2,-3.4,12,258.4,184.4,88.4,166.4,2.4,0.4,19.6,18.4,283.2,212.4,117.4,110.2,1,3.4,23,18.8,0.4,0.6,0.3,0.6,0.2,0.8,22.4,22.1,5.7,9.6,249.3,169.6,95.1,172.6,2.4,1,19.4,17.8,253.2,215.8,110.1,119.8,1.3,3,21.5,19,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1,201001,NE,-5,CIN,45,-235,195,1,0,1,0,0,0,0.4,0.6,0.6,0.4,0.4,0.2,24,14.8,-2,-5.6,233.8,179,132.2,113.6,1.8,1.8,22,15.2,223,175.2,112.2,134.4,1,1.4,19.8,18.6,0.5,0.7,0.6,0.6,0.5,0.4,26.4,18.7,-4.6,4.8,270.6,177.3333333,122.3,137.7,1.8,1.4,22.4,18.4,227.2,172,109.1,99.2,1.6,1.7,18.5,16.7,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1,201001,JAC,-3,DEN,41.5,-175,155,1,1,0,0,0,0,0,0.4,0.2,0.2,0.2,0.4,17.6,26,-2.4,3.4,183.6,257.2,114,114.8,1,1.6,17.6,21.2,220.4,189.2,138,169.8,1.8,2.6,20.6,20.2,0,0.6,0.4,0.2,0.2,0.3,17,19.3,-2.3,-0.3,196.1,221.1,129.7,104,1.3,1.8,17.6,18.6,220.2,188.4,127,158.1,1.5,1.8,18.5,19.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,1,201001,CHI,-6,DET,44.5,-300,250,1,0,1,0,0,0,0.4,0.4,0.6,0,0.4,0.4,22.2,13.8,-2.2,-6.2,189.4,167.2,111.2,111.6,2,3,16.4,15.2,205.2,230.8,128,156.6,1.8,1.6,18.4,20.4,0.4,0.3,0.4,0.1,0.3,0.2,19.8,15.9,-1.9,-3.1,208.4,200.3,100.8,102.2,2.1,2.9,16.3,17.1,206,269.8,136.5,135.1,2,1.5,18.9,20.9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,1,201001,IND,-1,HOU,48,-125,105,0,1,0,0,0,0,0.8,0.6,0.6,0.8,0.6,0.4,22.4,25.8,-1.8,1.2,230.4,308,66,95.8,1.8,1.8,18.2,22.8,189.4,226.2,165.2,78.2,0.8,1.4,21,18.2,0.6,0.4,0.8,0.6,0.5,0.4,23.7,24.5,-0.1,-0.7,265,290.1,74.4,101.1,1.8,1.9,21.1,22.2,232.4,212.6,135.3,96.1,1.6,1.6,21.4,19.4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,1,201001,SD,-4,KC,45.5,-205,175,0,0,1,0,0,0,0.4,0.4,1,0.2,0.4,0.4,28.4,22.2,8.6,3,304.6,206.4,90,170.8,1,2.4,22.2,18.2,230.4,173,117,204.8,1,2.6,20,20.8,0.5,0.6,1,0.3,0.6,0.5,29.3,19.6,1.1,0,265,194.5,100,132.9,1,2.3,21.8,15.8,218,221,105.8,172.2,1.5,2,18.8,20.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010,1,201001,ARI,-3,LA,39,-165,145,0,1,0,0,0,0,0.2,0.4,0.6,0,0.4,0.4,21.6,9,13.2,-6.8,219.8,115.8,95.6,95.6,3,2.6,18.2,12.8,179.6,256.4,121.8,113.4,2.4,1,18.6,19.4,0.3,0.5,0.6,0.1,0.5,0.5,23.9,12.1,10.9,-4.3,239.9,164.3,113.4,116,2.4,2,20.2,16.1,219.8,225.2,139.9,140.6,1.7,1.2,19.1,19.6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010,1,201001,TEN,-6,OAK,39.5,-275,235,1,0,1,0,0,0,0.2,0.6,0.6,0.4,0.2,0.6,25,16.4,0,1,202.8,225.2,149,110.8,2,1.6,19.6,19,241,185.8,119,143.2,2.2,0.6,21.4,18.2,0.3,0.6,0.8,0.3,0.5,0.5,27,13.5,-1.4,-0.4,199.7,180.5,176.1,117,1.3,1.9,19.4,16.2,227.5,198.2,114.1,161.6,1.9,1.2,19,19.2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
